text,language_ID,language_name,abbr,language_type,macro_region,natives,non_natives,SI,GI,total_no_tokens,corpus
AU_S1A-058_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,367,1369,2236,ICE
AU_S1A-059_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,303,1246,2121,ICE
AU_S1A-060_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,357,1355,2229,ICE
AU_S1A-061_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,354,1378,2261,ICE
AU_S1A-062_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,350,1352,2314,ICE
AU_S1A-063_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,353,1339,2218,ICE
AU_S1A-064_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,357,1454,2321,ICE
AU_S1A-065_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,361,1368,2159,ICE
AU_S1A-066_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,349,1371,2282,ICE
AU_S1A-067_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,412,1487,2229,ICE
AU_S1A-068_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,398,1389,2260,ICE
AU_S1A-069_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,353,1416,2280,ICE
AU_S1A-070_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,328,1322,2259,ICE
AU_S1A-071_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,287,1291,2133,ICE
AU_S1A-072_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,358,1334,2222,ICE
AU_S1A-073_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,309,1295,2150,ICE
AU_S1A-074_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,346,1315,2250,ICE
AU_S1A-075_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,370,1361,2205,ICE
AU_S1A-076_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,351,1367,2297,ICE
AU_S1A-077_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,368,1375,2283,ICE
AU_S1A-078_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,334,1403,2230,ICE
AU_S1A-079_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,378,1446,2274,ICE
AU_S1A-080_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,274,1332,2161,ICE
AU_S1A-081_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,326,1276,2246,ICE
AU_S1A-082_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,380,1408,2288,ICE
AU_S1A-083_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,308,1366,2248,ICE
AU_S1A-084_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,346,1360,2202,ICE
AU_S1A-085_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,417,1468,2249,ICE
AU_S1A-086_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,369,1354,2212,ICE
AU_S1A-087_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,342,1270,2211,ICE
AU_S1A-088_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,335,1407,2317,ICE
AU_S1A-089_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,367,1376,2336,ICE
AU_S1A-090_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,294,1303,2280,ICE
AU_S1A-091_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,331,1368,2200,ICE
AU_S1A-092_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,339,1333,2190,ICE
AU_S1A-093_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,365,1364,2247,ICE
AU_S1A-094_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,368,1370,2194,ICE
AU_S1A-095_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,320,1309,2107,ICE
AU_S1A-096_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,442,1446,2356,ICE
AU_S1A-097_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,330,1267,2180,ICE
AU_S1A-098_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,334,1310,2245,ICE
AU_S1A-099_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,311,1210,2213,ICE
AU_S1A-100_R1000.txt,59,Australian English,AusE,L1c,Oc,18303662,3945100,329,1319,2147,ICE
CAN_s1a-001_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,282,1364,2276,ICE
CAN_s1a-002_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,358,1443,2189,ICE
CAN_s1a-003_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,349,1427,2253,ICE
CAN_s1a-004_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,285,1328,2186,ICE
CAN_s1a-005_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,312,1373,2357,ICE
CAN_s1a-006_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,308,1266,2257,ICE
CAN_s1a-007_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,365,1359,2210,ICE
CAN_s1a-008_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,317,1366,2218,ICE
CAN_s1a-009_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,314,1390,2189,ICE
