text,area,total_no_tokens,SI,GI
CAN_s1a-017_R1000.txt,CAN,2237,319,1354
CAN_s1a-018_R1000.txt,CAN,2140,319,1299
CAN_s1a-019_R1000.txt,CAN,2305,302,1327
CAN_s1a-020_R1000.txt,CAN,2210,321,1285
CAN_s1a-021_R1000.txt,CAN,2229,296,1241
CAN_s1a-022_R1000.txt,CAN,2225,320,1312
CAN_s1a-023_R1000.txt,CAN,2192,372,1324
CAN_s1a-024_R1000.txt,CAN,2196,257,1242
CAN_s1a-025_R1000.txt,CAN,2162,297,1328
CAN_s1a-026_R1000.txt,CAN,2187,340,1345
CAN_s1a-027_R1000.txt,CAN,2190,344,1351
CAN_s1a-028_R1000.txt,CAN,2167,380,1395
CAN_s1a-029_R1000.txt,CAN,2183,296,1216
CAN_s1a-030_R1000.txt,CAN,2167,312,1223
CAN_s1a-031_R1000.txt,CAN,2142,268,1253
CAN_s1a-032_R1000.txt,CAN,2258,354,1432
CAN_s1a-033_R1000.txt,CAN,2180,247,1307
CAN_s1a-034_R1000.txt,CAN,2183,333,1361
CAN_s1a-035_R1000.txt,CAN,2208,339,1337
CAN_s1a-036_R1000.txt,CAN,2173,286,1302
CAN_s1a-037_R1000.txt,CAN,2379,276,1391
CAN_s1a-038_R1000.txt,CAN,2250,315,1207
CAN_s1a-039_R1000.txt,CAN,2127,351,1326
CAN_s1a-040_R1000.txt,CAN,2144,355,1303
CAN_s1a-041_R1000.txt,CAN,2094,335,1282
CAN_s1a-042_R1000.txt,CAN,2089,320,1289
CAN_s1a-043_R1000.txt,CAN,2141,340,1354
CAN_s1a-044_R1000.txt,CAN,2219,326,1347
CAN_s1a-045_R1000.txt,CAN,2173,326,1300
CAN_s1a-046_R1000.txt,CAN,2154,256,1319
CAN_s1a-047_R1000.txt,CAN,2184,243,1326
CAN_s1a-048_R1000.txt,CAN,2154,231,1305
CAN_s1a-049_R1000.txt,CAN,2145,317,1386
CAN_s1a-050_R1000.txt,CAN,2180,350,1375
CAN_s1a-051_R1000.txt,CAN,2102,355,1324
CAN_s1a-052_R1000.txt,CAN,2192,338,1335
CAN_s1a-053_R1000.txt,CAN,2111,331,1335
CAN_s1a-054_R1000.txt,CAN,2117,303,1212
CAN_s1a-055_R1000.txt,CAN,2116,345,1287
CAN_s1a-056_R1000.txt,CAN,2157,296,1323
CAN_s1a-057_R1000.txt,CAN,2129,285,1268
CAN_s1a-058_R1000.txt,CAN,2117,304,1264
CAN_s1a-059_R1000.txt,CAN,2186,294,1268
CAN_s1a-060_R1000.txt,CAN,2176,319,1332
CAN_s1a-061_R1000.txt,CAN,2175,325,1318
CAN_s1a-062_R1000.txt,CAN,2163,257,1339
CAN_s1a-063_R1000.txt,CAN,2178,311,1329
CAN_s1a-064_R1000.txt,CAN,2136,293,1257
CAN_s1a-065_R1000.txt,CAN,2200,301,1372
CAN_s1a-066_R1000.txt,CAN,2235,332,1430
CAN_s1a-067_R1000.txt,CAN,2382,354,1553
CAN_s1a-068_R1000.txt,CAN,2223,318,1394
CAN_s1a-069_R1000.txt,CAN,2183,348,1410
