"","2.5 %","97.5 %"
"sd_prop_non_natives|macro_region",0,0.193457034398785
"sd_log10_natives|macro_region",0.0115300115156751,0.053232324442957
"sd_(Intercept)|macro_region",0,0.24238491365823
"sd_(Intercept)|corpus",0,0.123430407320554
"(Intercept)",-1.91114674877206,-1.59551934454095
"log10_natives",-0.0610237473369071,-0.00568305673220067
"prop_non_natives",0.0067094140038866,0.210848509254376
"language_typeL1c",-0.0172409734459547,0.096188729927436
"language_typeL2",-0.142520179931098,-0.0157413632057623
