"","2.5 %","97.5 %"
"sd_prop_non_natives|macro_region",0.0895821217007472,0.581580047716763
"sd_log10_natives|macro_region",0.0246008266680306,0.0912775399084176
"sd_(Intercept)|macro_region",0.195006366396088,0.763890124148485
"sd_(Intercept)|corpus",0,0.107886509650666
"(Intercept)",-1.21450860737899,-0.442567051793068
"log10_natives",-0.0136317334594564,0.0789919869718464
"prop_non_natives",-0.120438333065642,0.460217333598917
"language_typeL1c",-0.0264378344817867,0.0394233171896881
"language_typeL2",-0.106713467711626,-0.0331271941518646
